,price,location,baths,bedrooms,Total_Area
25985,160.0,Soan Garden,0,0,2178.008
25986,118.0,Ghauri Town,6,6,1361.255
25987,85.0,CBR Town,3,3,1361.255
25988,108.0,Pakistan Town,5,4,1361.255
25989,350.0,G-13,7,7,25319.343
25990,160.0,Soan Garden,6,6,2722.51
25991,133.0,PWD Housing Scheme,6,5,2722.51
25995,24.5,DHA Defence,2,2,1361.255
25996,255.0,G-9,4,4,1361.255
25997,130.0,H-13,0,0,1361.255
25998,150.0,D-12,4,4,1089.004
26218,275.0,Bahria Town,7,5,46010.419
26219,112.0,Park Road,0,3,1361.255
26220,120.0,Gulberg,0,0,1905.757
26221,36.5,DHA Defence,2,2,1361.255
26222,80.0,Bhara kahu,5,6,1633.506
26223,800.0,D-12,8,8,5445.0
26224,48.0,Ghauri Town,4,4,816.7529999999999
26225,100.0,Jhangi Syedan,0,0,1361.255
26226,440.0,G-9,5,4,38659.642
26228,58.0,Alipur Farash,6,6,1361.255
26229,75.0,Ghauri Town,4,4,1905.757
26231,85.0,Ghauri Town,6,6,1361.255
26232,48.0,Ali Pur,3,3,15246.056
26233,145.0,B-17,7,5,2178.008
26234,850.0,F-10,9,9,70785.0
26237,850.0,F-7,6,6,5445.0
26239,155.0,DHA Defence,5,4,1361.255
26240,500.0,G-10,6,5,2178.008
26242,1350.0,F-8,4,6,65340.0
26243,140.0,Bahria Town,4,3,1361.255
26244,220.0,B-17,6,6,4083.765
26489,240.0,Bahria Town,5,4,2722.51
26491,230.0,G-13,6,6,2178.008
26492,253.0,E-11,7,4,18240.817
26495,135.0,Bhara kahu,9,6,1633.506
26496,455.0,I-8,5,5,38659.642
26497,630.0,I-8,0,0,27769.602
26498,50.0,Alipur Farash,4,3,1633.506
26502,148.0,G-10,2,2,1089.004
26503,500.0,Bahria Town,6,7,59895.0
26504,65.0,Ghauri Town,4,4,9801.036
26506,1050.0,I-8,6,10,65340.0
26507,575.0,D-12,0,0,3811.514
26508,160.0,G-13,3,3,1089.004
26509,1050.0,F-11,6,6,5445.0
26511,60.0,Qutbal Town,3,2,1361.255
26512,60.0,Ghauri Town,4,3,816.7529999999999
26514,160.0,DHA Defence,4,4,1361.255
26515,130.0,I-11,0,0,1633.506
26794,125.0,Bani Gala,0,0,3267.012
26795,300.0,Bhara kahu,7,7,136125.0
26796,245.0,G-13,5,5,2178.008
26799,38.0,Burma Town,2,3,6806.275
26800,350.0,Bhara kahu,7,9,87120.0
26802,140.0,Soan Garden,4,4,1905.757
26803,140.0,Soan Garden,4,4,1905.757
26804,125.0,Soan Garden,4,4,1633.506
26805,135.0,Soan Garden,6,4,1633.506
26806,260.0,CBR Town,6,6,38659.642
26807,250.0,CBR Town,0,0,38659.642
26808,140.0,CBR Town,6,5,1905.757
26809,145.0,CBR Town,6,5,1905.757
26810,95.0,Burma Town,6,8,2178.008
26811,110.0,H-13,6,6,1633.506
26812,450.0,DHA Defence,9,6,5445.0
26814,55.0,Taramrri,2,4,6806.275
26815,2600.0,F-6,0,0,174240.0
26819,125.0,Bani Gala,0,4,3267.012
26820,165.0,H-13,6,9,2722.51
26822,1400.0,F-7,5,5,5445.0
26823,130.0,Ali Pur,4,3,3539.263
26825,160.0,F-17,8,6,2178.008
26826,225.0,B-17,5,6,2722.51
26828,95.0,Ghauri Town,5,6,1361.255
26829,520.0,Pir Sohawa,6,5,76230.0
26831,45.0,Bhara kahu,3,2,1633.506
26832,280.0,DHA Defence,2,3,2994.7609999999995
26833,200.0,DHA Defence,2,3,2994.7609999999995
26834,250.0,DHA Defence,4,3,2994.7609999999995
26836,425.0,DHA Defence,6,5,5445.0
27034,85.0,Ghauri Town,4,4,1361.255
27035,150.0,PWD Housing Scheme,6,5,2450.259
27036,70.0,DHA Defence,3,3,2178.008
27038,250.0,Bahria Town,6,5,3267.012
27039,34.0,DHA Defence,2,2,1361.255
27040,445.0,DHA Defence,7,6,5445.0
27043,135.0,D-17,0,6,1633.506
27044,450.0,DHA Defence,9,6,5445.0
27045,158.0,G-13,4,3,11979.043999999998
27046,1600.0,F-11,10,11,16335.0
27047,1300.0,F-8,5,5,70785.0
27048,62.0,Ghauri Town,3,2,1361.255
27049,145.0,B-17,7,5,2178.008
27053,1300.0,F-10,8,8,5445.0
27054,1400.0,F-10,6,6,10890.0
27056,350.0,DHA Defence,0,0,5445.0
27058,42.0,Bhara kahu,2,3,816.7529999999999
27059,118.0,H-13,0,9,15246.056
27060,95.0,Tarlai,6,6,2178.008
27061,95.0,Islamabad - Murree Expressway,3,4,2994.7609999999995
27264,145.0,Bahria Town,3,3,1361.255
27271,140.0,Bahria Town,3,3,1361.255
27272,122.0,Ghauri Town,0,0,1361.255
27273,160.0,I-9,6,6,18240.817
27275,800.0,F-7,6,5,5445.0
27276,560.0,F-10,5,5,5445.0
27277,27.0,Ali Pur,0,0,6806.275
27278,135.0,Ghauri Town,6,6,20418.825
27280,29.5,Fateh Jang Road,2,2,1905.757
27281,110.0,Mumtaz City,6,4,1361.255
27282,42.0,Burma Town,3,3,1361.255
27284,140.0,G-13,0,3,11979.043999999998
27285,125.0,G-13,0,3,11979.043999999998
27286,500.0,G-13,0,6,5445.0
27287,145.0,CBR Town,6,5,2178.008
27288,320.0,E-11,6,5,2178.008
27289,35.5,DHA Defence,2,2,1361.255
27292,290.0,Kuri Road,5,4,5445.0
27538,265.0,G-8,0,0,1361.255
27542,400.0,DHA Defence,6,6,5445.0
27543,85.0,National Police Foundation O-9,3,3,1361.255
27544,150.0,National Police Foundation O-9,4,4,27497.351
27545,285.0,National Police Foundation O-9,6,6,5445.0
27546,165.0,PWD Housing Scheme,4,4,25319.343
27547,250.0,PWD Housing Scheme,6,6,38659.642
27548,65.0,Gulshan-e-Khudadad,7,5,1361.255
27549,110.0,Ghauri Town,4,4,1905.757
27553,140.0,CBR Town,7,5,1905.757
27555,150.0,B-17,6,5,2178.008
27556,115.0,Shahpur,4,5,2722.51
27557,35.0,Alipur Farash,3,2,9528.785
27558,115.0,Ghauri Town,5,5,15790.558
27559,950.0,F-10,6,8,70785.0
27560,134.0,Bahria Town,0,0,1633.506
27561,58.0,Ghauri Town,5,4,1361.255
27562,128.0,Bahria Town,5,4,1361.255
27564,1400.0,F-7,0,0,70785.0
27800,525.0,DHA Defence,0,7,5445.0
27801,750.0,F-11,3,3,65340.0
27803,440.0,Bani Gala,8,7,5445.0
27804,75.0,Bani Gala,5,5,1361.255
27805,550.0,Bani Gala,7,6,114345.0
27806,115.0,Shahpur,4,5,2722.51
27808,1000.0,F-10,8,8,5445.0
27810,925.0,I-8,0,9,65340.0
27811,775.0,F-10,0,0,59895.0
27812,150.0,B-17,7,4,2178.008
27813,950.0,F-10,5,5,59895.0
27814,99.0,B-17,4,3,1361.255
27816,130.0,B-17,7,4,2178.008
27817,128.0,B-17,5,4,2178.008
27818,1625.0,F-7,6,6,59895.0
27820,145.0,CBR Town,7,5,2178.008
27821,320.0,G-13,7,6,2722.51
27823,80.0,Ali Pur,3,3,2178.008
28078,900.0,F-11,6,6,5445.0
28079,48.0,Ghauri Town,2,2,1089.004
28081,140.0,B-17,4,4,1905.757
28082,300.0,Bahria Town,5,5,2722.51
28083,150.0,B-17,6,4,2178.008
28085,550.0,Bahria Town,6,5,147015.0
28086,475.0,DHA Defence,6,6,5445.0
28087,65.5,DHA Defence,4,3,2178.008
28088,90.0,H-13,6,6,1361.255
28090,475.0,E-11,6,6,4356.016
28092,145.0,I-10,0,0,1361.255
28093,90.0,Ghauri Town,0,0,1361.255
28094,2850.0,G-11,5,5,26680.598
28097,150.0,Ghauri Town,6,6,1905.757
28098,42.0,Shaheen Town,2,2,1361.255
28100,145.0,B-17,6,4,2178.008
28101,99.0,B-17,4,3,1361.255
28103,130.0,B-17,7,5,2178.008
28104,95.0,B-17,4,3,1361.255
28105,104.0,B-17,5,4,1361.255
28106,625.0,Bahria Town,6,5,76230.0
28107,145.0,B-17,7,5,2178.008
28108,62.0,Ghauri Town,2,2,1361.255
28109,425.0,DHA Defence,6,6,5445.0
28110,70.0,DHA Defence,3,3,2178.008
28111,95.0,CBR Town,3,4,1905.757
28112,825.0,E-11,7,5,5445.0
28113,765.0,F-11,0,7,70785.0
28114,475.0,DHA Defence,7,6,5445.0
28115,150.0,Chatha Bakhtawar,6,5,1905.757
28116,850.0,F-10,0,9,70785.0
28117,850.0,F-10,0,0,70785.0
28118,590.0,G-13,6,4,5445.0
28119,260.0,G-6,5,5,1905.757
28120,154.0,B-17,6,4,2178.008
28121,130.0,Bani Gala,2,2,2722.51
28122,75.0,DHA Defence,3,3,2178.008
28123,60.0,DHA Defence,3,3,2178.008
28124,35.0,DHA Defence,2,2,1361.255
28125,235.0,G-11,5,5,1361.255
28350,70.0,Islamabad - Murree Expressway,3,2,1905.757
28351,70.0,Alipur Farash,6,4,1361.255
28352,170.0,Soan Garden,6,6,2722.51
28353,122.0,CBR Town,2,2,25319.343
28354,95.0,I-13,5,5,1361.255
28355,305.0,Bahria Town,6,5,2722.51
28358,135.0,Soan Garden,6,4,1633.506
28360,78.0,Soan Garden,5,3,1361.255
28361,60.0,H-13,3,3,1633.506
28363,125.0,Bani Gala,2,2,2722.51
28364,340.0,G-11,5,5,2178.008
28369,95.0,Golra Mor,6,4,1361.255
28370,50.0,DHA Defence,2,2,1361.255
28371,425.0,E-11,6,5,27769.602
28372,155.0,Soan Garden,6,6,5445.0
28373,250.0,G-6,3,5,1905.757
28374,65.0,Sarai Kharbuza,4,4,3267.012
28375,140.0,G-13,5,4,11706.793
28376,350.0,G-9,2,4,2722.51
28379,37.0,Ali Pur,2,3,1089.004
28381,90.0,Ghauri Town,5,5,1089.004
28382,90.0,Bahria Town,4,4,1361.255
28385,225.0,G-8,4,4,18240.817
28386,470.0,DHA Defence,8,7,5445.0
28387,130.0,FECHS,5,4,2178.008
28389,55.0,Jhang Syedan,4,3,1361.255
28390,660.0,F-11,6,6,4356.016
28654,72.0,D-17,3,3,1089.004
28655,430.0,Bani Gala,8,6,98010.0
28656,285.0,DHA Defence,4,4,2722.51
28657,500.0,Bahria Town,5,5,5445.0
28658,270.0,DHA Defence,5,5,2722.51
28659,35.0,DHA Defence,2,2,1361.255
28660,450.0,DHA Defence,6,5,5445.0
28661,50.0,DHA Defence,2,2,1361.255
28662,130.0,Royal Avenue,6,4,1361.255
28663,30.0,Motorway Chowk,2,3,6806.275
28664,290.0,G-10,5,4,29675.359
28665,350.0,Bani Gala,8,7,59895.0
28666,165.0,G-13,5,4,1361.255
28667,390.0,G-11,0,0,3811.514
28668,245.0,Bahria Town,5,4,2722.51
28669,115.0,Ghauri Town,4,5,1633.506
28671,160.0,Park Road,4,4,14973.804999999998
28672,100.0,Pakistan Town,3,2,1905.757
28673,560.0,I-8,6,6,33759.124
28674,168.0,B-17,4,4,2178.008
28675,470.0,DHA Defence,8,7,5445.0
28676,600.0,I-8,6,6,38659.642
28677,70.0,Motorway Chowk,6,5,1089.004
28678,170.0,Soan Garden,6,6,2722.51
28679,550.0,I-8,9,9,2994.7609999999995
28680,165.0,Soan Garden,6,6,27497.351
28681,75.0,Ghauri Town,4,4,11979.043999999998
28682,120.0,I-10,0,0,1361.255
28683,250.0,Soan Garden,0,0,5445.0
28684,250.0,Soan Garden,0,0,5445.0
28685,62.0,Ghauri Town,3,2,1361.255
28686,62.0,Ghauri Town,3,2,1361.255
28687,62.0,Ghauri Town,3,2,1361.255
28688,62.0,Ghauri Town,3,2,1361.255
28689,62.0,Ghauri Town,3,2,1361.255
28690,145.0,B-17,7,5,2178.008
28691,130.0,B-17,7,5,2178.008
28692,85.0,Pakistan Town,3,2,1361.255
28923,290.0,National Police Foundation O-9,8,6,5445.0
28924,192.0,Bahria Town,5,5,2178.008
28925,120.0,H-13,0,0,1361.255
28926,185.0,G-11,4,4,1361.255
28927,85.0,Ghauri Town,6,5,1361.255
28928,175.0,Soan Garden,8,6,5445.0
28929,450.0,DHA Defence,10,6,5445.0
28930,130.0,G-13,4,4,1361.255
28931,24.0,DHA Defence,2,2,1361.255
28932,165.0,G-13,0,0,1089.004
28933,140.0,D-17,0,0,2178.008
28934,325.0,I-10,0,4,2178.008
28935,210.0,I-10,0,5,25319.343
28936,115.0,I-10,0,0,1361.255
28937,175.0,I-10,0,5,18240.817
28938,150.0,I-10,0,4,15246.056
28939,155.0,I-10,0,4,15246.056
28940,115.0,I-10,0,4,11979.043999999998
28941,100.0,I-10,0,4,11979.043999999998
28942,100.0,I-10,0,5,11979.043999999998
28943,100.0,I-10,0,4,11979.043999999998
28945,300.0,G-15,5,5,4083.765
28946,150.0,G-13,0,0,1089.004
28947,375.0,G-11,4,5,2178.008
28951,175.0,I-10,0,0,1633.506
28952,150.0,I-10,0,0,1361.255
28953,155.0,I-10,0,0,1361.255
28954,470.0,DHA Defence,8,7,5445.0
28955,225.0,I-10,5,5,1361.255
28956,165.0,B-17,5,4,2178.008
28957,155.0,G-13,3,3,1361.255
28958,60.0,DHA Defence,3,3,2178.008
28959,78.0,Ghauri Town,5,4,1361.255
28963,140.0,CBR Town,6,5,1905.757
29211,180.0,Bahria Town,5,5,2722.51
29212,120.0,Ghauri Town,2,4,1361.255
29213,150.0,DHA Defence,4,3,2722.51
29214,250.0,PWD Housing Scheme,6,6,3811.514
29216,180.0,Bani Gala,6,5,53905.698
29220,285.0,Naval Anchorage,0,0,3811.514
29221,130.0,Bhara kahu,6,7,2722.51
29222,165.0,DHA Defence,4,5,1361.255
29223,61.0,Ghauri Town,3,2,1361.255
29224,98.0,Ghauri Town,3,4,1905.757
29225,240.0,Bahria Town,5,4,2722.51
29226,2500.0,F-10,6,5,16335.0
29227,170.0,Bahria Town,4,4,1361.255
29228,140.0,G-13,5,4,1089.004
29229,135.0,G-13,5,4,1089.004
29230,140.0,G-13,5,4,1089.004
29231,135.0,G-13,5,4,1089.004
29232,270.0,E-11,4,4,1633.506
29233,500.0,I-8,0,0,33759.124
29234,3000.0,F-7,9,9,10890.0
29235,220.0,G-9,4,4,1633.506
29236,124.0,Bhara kahu,4,4,2722.51
29237,150.0,CBR Town,6,5,1905.757
29238,60.0,Kuri Road,4,4,1089.004
29239,145.0,Bhara kahu,5,4,5445.0
29458,750.0,F-10,6,5,5445.0
29460,265.0,G-13,6,5,2178.008
29462,750.0,F-10,4,4,5445.0
29464,750.0,F-10,5,5,5445.0
29465,60.0,Rawal Town,2,2,816.7529999999999
29467,135.0,B-17,3,3,1361.255
29468,590.0,Bahria Town,0,5,59895.0
29469,45.0,Khanna Pul,2,2,1089.004
29470,450.0,DHA Defence,6,5,5445.0
29474,350.0,D-12,5,4,2178.008
29481,750.0,F-11,7,7,70785.0
29743,88.0,Ghauri Town,5,4,15246.056
29744,145.0,Emaar Canyon Views,3,3,3811.514
29746,110.0,Swan Garden,5,5,2178.008
29747,145.0,B-17,6,4,2178.008
29748,55.0,Rawal Enclave,0,0,1361.255
29749,70.0,I-12,0,0,1361.255
29750,1485.0,F-10,10,9,70785.0
29751,140.0,Soan Garden,6,4,1905.757
29753,30.5,DHA Defence,4,4,1361.255
29756,255.0,Naval Anchorage,0,0,38659.642
29757,125.0,Naval Anchorage,0,0,1361.255
29760,65.0,Ghauri Town,3,0,816.7529999999999
29761,78.0,Ghauri Town,4,4,1361.255
29764,308.0,G-11,6,5,2178.008
29765,66.0,DHA Defence,3,3,2178.008
29766,550.0,Bahria Town,7,6,5445.0
29767,33.0,DHA Defence,2,2,1361.255
30006,160.0,G-13,4,4,1089.004
30007,158.0,Soan Garden,6,7,2450.259
30008,38.0,DHA Defence,2,2,1361.255
30009,69.5,DHA Defence,4,3,2178.008
30010,32.0,DHA Defence,2,2,1361.255
30013,1750.0,F-8,10,9,70785.0
30014,270.0,Bahria Town,0,0,2722.51
30015,260.0,Naval Anchorage,6,6,38659.642
30016,145.0,G-13,4,4,11979.043999999998
30020,190.0,PWD Housing Scheme,6,5,3267.012
30021,220.0,PWD Housing Scheme,8,7,3267.012
30022,420.0,DHA Defence,8,7,5445.0
30023,220.0,PWD Housing Scheme,7,7,3267.012
30024,50.0,Marwa Town,3,2,1361.255
30025,400.0,DHA Defence,7,6,5445.0
30026,138.0,Naval Anchorage,5,5,1361.255
30027,48.0,Bhara kahu,3,5,1361.255
30282,170.0,F-17,6,6,2178.008
30283,325.0,Bahria Town,5,5,2722.51
30284,1150.0,I-8,10,8,65340.0
30285,245.0,B-17,0,4,2178.008
30286,95.0,B-17,3,3,15246.056
30288,170.0,Pakistan Town,8,5,2722.51
30289,88.0,Pakistan Town,3,2,1905.757
30290,475.0,DHA Defence,6,6,5445.0
30291,500.0,DHA Defence,0,0,5445.0
30293,40.0,DHA Defence,0,0,2178.008
30294,165.0,Faisal Town - F-18,0,5,2178.008
30295,160.0,D-17,5,5,47643.925
30510,125.0,D-17,0,0,2178.008
30511,175.0,Bahria Town,6,5,2178.008
30512,100.0,Shaheen Town,6,6,2994.7609999999995
30513,280.0,G-13,6,4,1905.757
30514,535.0,DHA Defence,6,5,5445.0
30515,490.0,DHA Defence,8,6,5445.0
30516,68.0,DHA Defence,3,3,2178.008
30517,198.0,Soan Garden,4,4,5445.0
30518,88.0,Soan Garden,2,2,1633.506
30519,111.0,Pakistan Town,3,3,2722.51
30520,170.0,Pakistan Town,6,6,2722.51
30521,170.0,Margalla Town,0,0,1361.255
30523,75.0,Koral Chowk,3,3,1633.506
30524,250.0,I-14,4,4,23141.335
30525,32.0,Burma Town,2,3,816.7529999999999
30560,72.0,Madina Town,3,3,1361.255
30561,50.0,Ghauri Town,2,3,1089.004
30562,125.0,Ghauri Town,6,4,1633.506
30563,276.0,I-10,5,8,25319.343
30564,88.0,Ghauri Town,0,0,1089.004
30565,670.0,E-11,0,0,5445.0
30566,35.0,Bhara kahu,3,3,1361.255
30567,220.0,PWD Housing Scheme,0,6,38659.642
30568,185.0,DHA Defence,4,3,2994.7609999999995
30569,175.0,Pakistan Town,6,6,3267.012
30570,575.0,E-11,6,5,38659.642
30571,120.0,Korang Town,4,4,1633.506
30573,165.0,I-9,4,6,1633.506
31048,45.0,Al Huda Town,3,3,1089.004
31049,150.0,G-14,4,4,11979.043999999998
31051,1200.0,F-11,10,10,10890.0
31052,56.5,Ghauri Town,2,2,1361.255
31054,150.0,H-11,4,5,1361.255
31679,194.0,DHA Defence,4,5,1361.255
31681,63.0,FECHS,3,3,1905.757
31682,90.0,E-18,3,4,33759.124
31683,825.0,F-11,8,7,70785.0
31684,70.0,Ghauri Town,3,2,1361.255
31685,105.0,Ghauri Town,5,4,1361.255
31686,105.0,Ghauri Town,3,2,1905.757
31687,450.0,DHA Defence,7,7,5445.0
31688,140.0,G-14,4,4,1089.004
31689,260.0,Bahria Town,6,6,2722.51
31691,175.0,FECHS,6,7,1905.757
31692,590.0,F-11,6,6,4356.016
31693,320.0,D-12,6,6,1905.757
31697,340.0,Bani Gala,6,6,5445.0
31926,275.0,Bahria Town,6,5,2994.7609999999995
31927,275.0,Bahria Town,6,5,2994.7609999999995
31928,800.0,Bani Gala,7,6,10890.0
31931,60.0,Chatha Bakhtawar,3,2,1361.255
31932,535.0,DHA Defence,5,5,5445.0
31933,286.0,G-13,6,5,2178.008
32049,525.0,G-6,4,6,28858.606
32050,25.0,Tarnol,3,3,1361.255
32052,215.0,G-9,4,6,1361.255
32053,180.0,G-9,4,4,18240.817
32054,250.0,G-13,6,5,2178.008
32056,165.0,I-10,4,4,18240.817
32259,225.0,E-11,5,5,1905.757
32260,235.0,I-14,7,7,23141.335
32261,750.0,F-11,6,5,5445.0
32262,230.0,Pakistan Town,7,7,5445.0
32854,900.0,F-11,6,6,5445.0
32856,290.0,Bahria Town,6,5,2722.51
32857,500.0,E-11,6,6,4356.016
32858,145.0,Bahria Town,4,3,1361.255
32859,190.0,G-9,3,4,1633.506
32860,400.0,G-13,7,7,38659.642
32862,290.0,I-9,0,0,25591.594
32863,185.0,I-14,4,4,18240.817
32865,65.0,Garden Town,4,4,1089.004
32866,280.0,Fateh Jang Road,6,5,2722.51
32867,21.0,Bhara kahu,2,2,816.7529999999999
32868,120.0,Korang Town,6,5,1633.506
32869,150.0,Faisal Town - F-18,4,4,2178.008
32870,120.0,I-10,3,3,1361.255
32871,490.0,DHA Defence,6,6,5445.0
32872,100.0,Pakistan Town,4,4,1361.255
32873,130.0,DHA Defence,0,0,2994.7609999999995
33103,560.0,I-8,0,0,38659.642
33104,60.0,Bhara kahu,5,6,1089.004
33106,190.0,CBR Town,4,4,38659.642
33107,1400.0,F-10,8,8,114345.0
33108,1550.0,F-7,0,0,10890.0
33109,138.0,Soan Garden,5,5,18240.817
33110,119.0,Soan Garden,4,4,1905.757
33112,210.0,Bahria Town,5,5,2722.51
33113,210.0,Bahria Town,5,5,2722.51
33115,460.0,DHA Defence,5,5,5445.0
33116,44.8,Ghauri Town,2,2,816.7529999999999
33120,150.0,Naval Anchorage,0,0,5445.0
33121,1000.0,F-10,6,5,70785.0
33122,140.0,Bani Gala,6,6,2178.008
33123,42.0,Chatha Bakhtawar,0,0,1089.004
33124,100.0,Ghauri Town,4,4,1361.255
33125,120.0,Ghauri Town,5,5,1905.757
33126,350.0,G-15,0,0,38659.642
33127,300.0,G-15,0,0,38659.642
33128,122.0,I-14,6,5,14429.302999999998
33129,66.5,Shaheen Town,2,2,1361.255
33130,105.0,Taramrri,5,5,1361.255
33132,65.0,Thanda Pani,3,2,1633.506
33133,190.0,I-10,3,4,1633.506
33134,1200.0,F-6,5,5,87120.0
33136,42.0,Jhang Syedan,3,3,1361.255
33138,595.0,Bahria Town,8,7,5445.0
33140,250.0,Bahria Town,5,4,2722.51
33141,1600.0,G-6,6,6,130680.0
33381,34.5,DHA Defence,2,2,1361.255
33382,78.0,DHA Defence,3,3,2178.008
33383,40.0,DHA Defence,2,2,1361.255
33385,48.0,Al Qaim Town,0,0,18240.817
33386,145.0,PWD Housing Scheme,6,5,25319.343
33387,1500.0,F-10,8,8,70785.0
33388,180.0,PWD Housing Scheme,7,5,2722.51
33389,370.0,Naval Anchorage,6,6,5445.0
33390,265.0,G-13,6,5,2178.008
33391,34.0,DHA Defence,2,2,1361.255
33392,34.0,DHA Defence,2,2,1361.255
33393,500.0,E-11,6,6,4356.016
33395,120.0,Soan Garden,5,5,1905.757
33396,85.0,Bani Gala,4,4,1361.255
33397,55.0,Jhangi Syedan,2,3,1361.255
33400,300.0,Green Avenue,6,6,2722.51
33401,150.0,Green Avenue,4,4,1361.255
33403,82.0,Motorway Chowk,6,6,1361.255
33405,925.0,F-11,6,6,5445.0
33406,225.0,E-11,5,5,1905.757
33407,440.0,DHA Defence,5,5,5445.0
33410,335.0,Bani Gala,5,5,10890.0
33413,1200.0,I-8,6,8,5445.0
33414,27.0,Partal Town,3,3,816.7529999999999
33416,85.0,Police Foundation Housing Society,3,2,1905.757
33418,48.0,Ghauri Town,3,3,1361.255
33420,660.0,F-11,0,0,48460.67799999999
33649,150.0,Ghauri Town,6,6,1905.757
33650,235.0,E-11,2,2,2178.008
33651,725.0,F-10,5,4,5445.0
33654,900.0,F-8,0,0,5445.0
33656,37.0,Burma Town,2,2,816.7529999999999
33657,185.0,DHA Defence,4,3,2994.7609999999995
33659,14.0,Ghauri Town,0,0,544.502
33660,33.0,DHA Defence,0,0,1361.255
33661,72.5,DHA Defence,3,3,2178.008
33663,385.0,G-9,4,5,38387.391
33664,145.0,CBR Town,7,6,2178.008
33665,1400.0,F-11,10,11,87120.0
33667,260.0,G-13,7,5,2178.008
33669,832.0,I-8,6,6,38659.642
33670,140.0,Soan Garden,5,5,1633.506
33672,95.0,Bani Gala,0,3,1905.757
33673,65.0,Bani Gala,0,3,1361.255
33674,57.0,Bani Gala,0,2,1361.255
33676,280.0,DHA Defence,5,5,2722.51
33677,65.0,Bani Gala,4,3,1361.255
33678,130.0,Atomic Energy Employee Society,6,9,1905.757
33680,445.0,DHA Defence,5,5,5445.0
33682,550.0,Bhara kahu,6,6,21780.0
33683,1150.0,F-10,8,8,10890.0
33684,315.0,G-10,0,0,23141.335
33685,80.0,Ghauri Town,4,3,1361.255
33686,650.0,F-11,6,5,5445.0
33687,135.0,Naval Anchorage,5,5,1361.255
33688,35.0,DHA Defence,2,2,1361.255
33689,480.0,I-8,6,6,33759.124
33690,145.0,I-10,3,3,18240.817
33691,140.0,Bahria Town,3,3,1361.255
33692,72.0,Ghauri Town,3,2,1361.255
33693,560.0,I-8,6,6,38659.642
33887,135.0,G-14,4,4,1089.004
33888,370.0,G-11,4,4,1905.757
33889,265.0,G-11,4,4,1905.757
33890,80.0,Soan Garden,5,5,18240.817
33891,325.0,G-11,4,4,1905.757
33892,70.0,DHA Defence,3,3,2178.008
33893,52.0,Arsalan Town,3,3,1361.255
33894,48.0,Tarnol,5,5,1361.255
33896,175.0,DHA Defence,4,3,2994.7609999999995
33897,320.0,DHA Defence,7,5,2994.7609999999995
33899,210.0,DHA Defence,5,3,2994.7609999999995
33900,103.0,Soan Garden,4,4,2722.51
33901,250.0,DHA Defence,5,3,4628.267
33902,130.0,Shaheen Town,5,6,4628.267
33903,245.0,Bahria Town,6,5,2722.51
33904,320.0,DHA Defence,5,3,5445.0
33905,250.0,Bahria Town,6,5,2722.51
33906,260.0,G-13,0,0,1905.757
33907,190.0,I-10,4,4,1633.506
33908,160.0,G-13,5,4,1089.004
33910,1000.0,F-7,5,5,81675.0
34103,2000.0,F-6,5,5,5445.0
34104,1200.0,F-10,0,0,10890.0
34105,285.0,DHA Defence,4,4,2722.51
34106,75.0,Burma Town,0,0,1361.255
34107,1800.0,E-7,5,4,103455.0
34108,140.0,Bahria Town,4,3,1361.255
34109,68.0,Ghauri Town,4,3,816.7529999999999
34110,62.0,H-15,3,2,14973.804999999998
34111,1300.0,F-10,6,6,5445.0
34112,365.0,DHA Defence,6,5,3811.514
34113,415.0,G-13,6,9,2994.7609999999995
34115,98.0,Ghauri Town,6,4,1361.255
34116,950.0,I-8,6,8,5445.0
34117,900.0,F-8,5,4,5445.0
34118,120.0,B-17,4,4,1089.004
34119,85.0,Bani Gala,4,4,1361.255
34120,825.0,F-11,6,6,70785.0
34121,75.0,DHA Defence,3,3,2178.008
34123,230.0,Soan Garden,6,6,38659.642
34124,170.0,Soan Garden,7,6,2722.51
34125,100.0,I-14,5,5,1361.255
34372,27.0,Tarlai,2,3,816.7529999999999
34373,150.0,B-17,4,5,2178.008
34375,75.0,Ghauri Town,0,0,9528.785
34376,38.5,DHA Defence,0,0,1361.255
34377,66.0,Bhara kahu,6,6,1361.255
34378,1350.0,F-10,8,7,10890.0
34379,90.0,FECHS,2,2,2178.008
34380,230.0,Islamabad - Murree Expressway,6,9,81675.0
34382,315.0,Bahria Town,6,6,2722.51
34384,190.0,Soan Garden,6,4,2722.51
34385,190.0,Soan Garden,6,4,2994.7609999999995
34387,85.0,Bhara kahu,0,5,1633.506
34388,550.0,DHA Defence,6,5,5445.0
34389,525.0,DHA Defence,6,5,5445.0
34390,500.0,Bahria Town,0,0,59895.0
34392,2300.0,F-7,0,0,21780.0
34393,2800.0,F-8,0,0,21780.0
34395,2700.0,F-6,0,0,196020.0
34398,460.0,E-11,6,5,2722.51
34399,290.0,Soan Garden,4,6,4356.016
34400,65.0,Kashmir Highway,5,4,12251.294999999998
34401,260.0,G-11,6,6,1905.757
34404,83.0,Ghauri Town,5,4,1089.004
34405,145.0,CBR Town,7,6,1905.757
34406,1150.0,F-8,3,3,65340.0
34407,85.0,Ghauri Town,6,7,1089.004
34645,900.0,F-7,5,5,5445.0
34646,450.0,DHA Defence,6,5,5445.0
34647,450.0,DHA Defence,6,5,5445.0
34649,460.0,DHA Defence,6,5,5445.0
34650,130.0,H-13,5,6,1633.506
34651,54.8,DHA Defence,4,3,2178.008
